event_idx,row_idx,t,dT_dt,Tsel
1,8574,2025-09-10 16:32:47,0.0395,-0.531
2,8612,2025-09-10 16:33:30,0.0381666666666667,-0.464333333333333
3,9384,2025-09-10 16:47:56,0.0433333333333333,-1.186
4,9682,2025-09-10 16:53:31,0.0418333333333333,-1.20366666666667
5,9931,2025-09-10 16:58:10,0.0426666666666666,-1.39766666666667
6,10314,2025-09-10 17:05:20,0.0441666666666666,-1.71166666666667
7,12590,2025-09-10 17:47:56,0.0455000000000001,-2.54466666666667
8,13854,2025-09-10 18:11:36,0.0475000000000001,-2.753
9,14276,2025-09-10 18:19:30,0.0468333333333333,-2.78933333333333
10,15074,2025-09-10 18:34:26,0.0490000000000002,-2.80533333333333
11,16126,2025-09-10 18:54:08,0.0426666666666666,-2.86266666666667
12,17216,2025-09-10 19:14:32,0.0421666666666665,-2.91433333333333
13,19613,2025-09-10 19:59:30,0.112833333333333,-2.96966666666667
14,22008,2025-09-10 20:44:27,0.810666666666667,1.03333333333333
15,22040,2025-09-10 20:45:03,0.225333333333333,3.53433333333333
16,22084,2025-09-10 20:45:53,0.225,4.59366666666667
17,22122,2025-09-10 20:46:36,0.146666666666667,5.48433333333333
