freq_col,type,t_abs,t_rel_s,idx
1,mag,2025-09-10 03:37:16.000,22565,4486
1,mag,2025-09-10 03:37:47.000,22596,4492
1,phase,2025-09-09 21:21:21.000,10,3
1,phase,2025-09-10 03:36:15.000,22504,4474
1,phase,2025-09-10 03:36:46.000,22535,4480
2,phase,2025-09-09 21:24:36.000,205,42
2,phase,2025-09-10 03:36:31.000,22520,4477
3,phase,2025-09-10 03:36:41.000,22530,4479
3,phase,2025-09-10 03:37:47.000,22596,4492
3,phase,2025-09-10 03:38:57.000,22666,4506
4,mag,2025-09-09 22:22:34.000,3683,737
4,phase,2025-09-10 03:36:41.000,22530,4479
5,phase,2025-09-09 21:25:31.000,260,53
5,phase,2025-09-10 03:36:41.000,22530,4479
5,phase,2025-09-10 03:37:47.000,22596,4492
6,mag,2025-09-10 03:36:10.000,22499,4473
6,phase,2025-09-09 21:26:01.000,290,59
6,phase,2025-09-10 03:36:31.000,22520,4477
6,phase,2025-09-10 03:38:57.000,22666,4506
