frequency	e'	e''
5e+008	88.7427	-0.979125
1e+009	87.6605	6.2924
1.5e+009	86.7062	11.6597
2e+009	85.0131	16.3477
2.5e+009	82.9245	20.5108
3e+009	80.5888	24.3106
3.5e+009	77.8723	27.69
4e+009	74.9783	30.6356
4.5e+009	71.9515	33.1906
5e+009	68.8951	35.3309
5.5e+009	65.8165	37.0653
6e+009	62.7114	38.4177
6.5e+009	59.707	39.5058
7e+009	56.8082	40.3425
7.5e+009	54.0423	40.8935
8e+009	51.4019	41.2679
8.5e+009	48.8515	41.4342
9e+009	46.4578	41.4222
9.5e+009	44.1888	41.3326
1e+010	42.0172	41.0752
1.05e+010	40.0488	40.7447
1.1e+010	38.1732	40.3701
1.15e+010	36.3851	39.8828
1.2e+010	34.7976	39.3762
1.25e+010	33.2673	38.8543
1.3e+010	31.8037	38.2592
1.35e+010	30.517	37.6921
1.4e+010	29.2729	37.1226
1.45e+010	28.0832	36.4725
1.5e+010	27.0329	35.8965
1.55e+010	26.0387	35.336
1.6e+010	25.074	34.6681
1.65e+010	24.2198	34.1141
1.7e+010	23.3715	33.6089
1.75e+010	22.6265	32.9541
1.8e+010	21.9511	32.443
1.85e+010	21.2155	31.9669
1.9e+010	20.6374	31.3667
1.95e+010	20.0951	30.8533
2e+010	19.4431	30.4015
2.05e+010	18.9688	29.8834
2.1e+010	18.5563	29.4674
2.15e+010	17.9859	28.9895
2.2e+010	17.5889	28.496
2.25e+010	17.2656	28.1836
2.3e+010	16.7979	27.708
2.35e+010	16.4716	27.1925
2.4e+010	16.1789	27.0078
2.45e+010	15.7841	26.5506
2.5e+010	15.6156	26.0517
2.55e+010	15.3163	25.8722
2.6e+010	14.9691	25.425
2.65e+010	14.8278	24.9513
