frequency	e'	e''
5e+008	3.88583	-0.24223
1e+009	3.3348	-0.138646
1.5e+009	3.50287	-0.100009
2e+009	3.53928	-0.0609493
2.5e+009	3.45806	-0.0643812
3e+009	3.4794	-0.0268186
3.5e+009	3.47254	-0.00102331
4e+009	3.41843	0.00960544
4.5e+009	3.41055	0.0210583
5e+009	3.4186	0.0356174
5.5e+009	3.39964	0.0384808
6e+009	3.39022	0.0458333
6.5e+009	3.37646	0.0448445
7e+009	3.34127	0.0435145
7.5e+009	3.3537	0.040274
8e+009	3.36312	0.0394858
8.5e+009	3.33689	0.0396596
9e+009	3.34795	0.032126
9.5e+009	3.35015	0.0365996
1e+010	3.32576	0.0283642
1.05e+010	3.33463	0.0263457
1.1e+010	3.31195	0.0194576
1.15e+010	3.28091	0.0112199
1.2e+010	3.30512	0.0108705
1.25e+010	3.29849	0.0191956
1.3e+010	3.26553	0.00263055
1.35e+010	3.26884	-0.000880996
1.4e+010	3.25073	-0.00711295
1.45e+010	3.23393	-0.0178564
1.5e+010	3.22216	-0.0158233
1.55e+010	3.20906	-0.0145252
1.6e+010	3.19804	-0.0259852
1.65e+010	3.19501	-0.0311056
1.7e+010	3.16626	-0.0295504
1.75e+010	3.16496	-0.0385472
1.8e+010	3.16418	-0.0478059
1.85e+010	3.13894	-0.0396042
1.9e+010	3.13476	-0.0586225
1.95e+010	3.14386	-0.0627662
2e+010	3.1168	-0.0661831
2.05e+010	3.11282	-0.0662584
2.1e+010	3.11939	-0.0728458
2.15e+010	3.10559	-0.0814802
2.2e+010	3.09455	-0.0825121
2.25e+010	3.11113	-0.0871217
2.3e+010	3.09816	-0.0976346
2.35e+010	3.09402	-0.10886
2.4e+010	3.10434	-0.0978322
2.45e+010	3.0933	-0.0978697
2.5e+010	3.11097	-0.128909
2.55e+010	3.12478	-0.127846
2.6e+010	3.11817	-0.133314
2.65e+010	3.1307	-0.156556
