frequency	e'	e''
5e+008	91.0228	-0.44052
1e+009	89.5619	7.84518
1.5e+009	88.1753	14.0239
2e+009	85.9113	19.3376
2.5e+009	83.0517	24.028
3e+009	79.9102	28.1002
3.5e+009	76.4309	31.5488
4e+009	72.802	34.4369
4.5e+009	69.1293	36.8043
5e+009	65.4948	38.6947
5.5e+009	61.9097	40.1002
6e+009	58.386	41.0536
6.5e+009	55.025	41.6985
7e+009	51.8877	42.0726
7.5e+009	48.964	42.183
8e+009	46.2265	42.103
8.5e+009	43.6566	41.8563
9e+009	41.2783	41.4677
9.5e+009	39.0713	41.0009
1e+010	37.0055	40.4162
1.05e+010	35.1335	39.8008
1.1e+010	33.3925	39.1511
1.15e+010	31.7691	38.4378
1.2e+010	30.3174	37.7321
1.25e+010	28.9573	37.0188
1.3e+010	27.6787	36.2763
1.35e+010	26.5321	35.5644
1.4e+010	25.4555	34.8693
1.45e+010	24.444	34.1349
1.5e+010	23.5395	33.4655
1.55e+010	22.6897	32.8146
1.6e+010	21.895	32.1313
1.65e+010	21.176	31.5218
1.7e+010	20.4742	30.9365
1.75e+010	19.8497	30.2943
1.8e+010	19.2909	29.7585
1.85e+010	18.7102	29.2274
1.9e+010	18.2211	28.6615
1.95e+010	17.7719	28.161
2e+010	17.2833	27.6813
2.05e+010	16.8962	27.1801
2.1e+010	16.5285	26.7622
2.15e+010	16.12	26.2998
2.2e+010	15.8066	25.8451
2.25e+010	15.5088	25.4838
2.3e+010	15.1803	25.0573
2.35e+010	14.9315	24.6246
2.4e+010	14.6742	24.3577
2.45e+010	14.4013	23.9361
2.5e+010	14.2459	23.5467
2.55e+010	13.9853	23.298
2.6e+010	13.7573	22.908
2.65e+010	13.6236	22.5359
