frequency	e'	e''
5e+008	67.8958	-0.717142
1e+009	67.1403	4.89689
1.5e+009	66.5648	9.05005
2e+009	65.5854	12.8676
2.5e+009	64.279	16.696
3e+009	62.0084	20.8735
3.5e+009	58.5922	23.1962
4e+009	56.3391	25.1309
4.5e+009	53.8841	27.1103
5e+009	51.3805	28.8544
5.5e+009	48.7156	30.2735
6e+009	46.0157	31.2555
6.5e+009	43.4968	31.975
7e+009	41.1069	32.5424
7.5e+009	38.8328	32.9214
8e+009	36.6499	33.1909
8.5e+009	34.4718	33.2969
9e+009	32.4051	33.2142
9.5e+009	30.4479	33.0171
1e+010	28.6036	32.6691
1.05e+010	26.9281	32.2738
1.1e+010	25.3188	31.8106
1.15e+010	23.8117	31.2175
1.2e+010	22.5307	30.6181
1.25e+010	21.3149	30.0437
1.3e+010	20.148	29.4035
1.35e+010	19.1372	28.804
1.4e+010	18.1722	28.2102
1.45e+010	17.2529	27.571
1.5e+010	16.4198	27.0051
1.55e+010	15.6309	26.4238
1.6e+010	14.8885	25.7646
1.65e+010	14.2176	25.1856
1.7e+010	13.5712	24.6119
1.75e+010	13.037	23.9455
1.8e+010	12.5681	23.3826
1.85e+010	12.0919	22.8607
1.9e+010	11.719	22.2913
1.95e+010	11.3739	21.7691
2e+010	11	21.2728
2.05e+010	10.7667	20.8057
2.1e+010	10.5346	20.4465
2.15e+010	10.2059	20.0094
2.2e+010	9.99619	19.5914
2.25e+010	9.82696	19.3103
2.3e+010	9.57146	18.9362
2.35e+010	9.37162	18.5645
2.4e+010	9.16252	18.362
2.45e+010	8.94693	17.9873
2.5e+010	8.84363	17.6291
2.55e+010	8.62167	17.4239
2.6e+010	8.4206	17.0326
2.65e+010	8.35315	16.6519
