frequency	e'	e''
5e+008	88.907	-0.98213
1e+009	87.836	6.34969
1.5e+009	86.8412	11.7425
2e+009	85.1557	16.4894
2.5e+009	82.9563	20.6554
3e+009	80.5995	24.4294
3.5e+009	77.8842	27.8084
4e+009	74.9741	30.7287
4.5e+009	71.985	33.2838
5e+009	68.9425	35.4716
5.5e+009	65.8218	37.2332
6e+009	62.6773	38.5935
6.5e+009	59.649	39.6866
7e+009	56.7143	40.5113
7.5e+009	53.9253	41.0415
8e+009	51.266	41.4014
8.5e+009	48.7004	41.5482
9e+009	46.3033	41.513
9.5e+009	44.0243	41.4154
1e+010	41.842	41.1399
1.05e+010	39.8821	40.7943
1.1e+010	38.0019	40.4093
1.15e+010	36.2022	39.903
1.2e+010	34.6374	39.3874
1.25e+010	33.1018	38.8537
1.3e+010	31.6311	38.2335
1.35e+010	30.3625	37.6792
1.4e+010	29.1218	37.0996
1.45e+010	27.9264	36.4229
1.5e+010	26.8919	35.8566
1.55e+010	25.9057	35.3047
1.6e+010	24.9393	34.5986
1.65e+010	24.0959	34.0506
1.7e+010	23.2455	33.5658
1.75e+010	22.5152	32.8816
1.8e+010	21.8497	32.3688
1.85e+010	21.1009	31.9098
1.9e+010	20.5478	31.2819
1.95e+010	20.0189	30.7615
2e+010	19.3326	30.3183
2.05e+010	18.8711	29.7903
2.1e+010	18.4959	29.3813
2.15e+010	17.8895	28.8991
2.2e+010	17.5018	28.389
2.25e+010	17.2155	28.1152
2.3e+010	16.7183	27.6137
2.35e+010	16.3961	27.0677
2.4e+010	16.1201	26.9438
2.45e+010	15.7088	26.4676
2.5e+010	15.5768	25.9357
2.55e+010	15.2789	25.8036
2.6e+010	14.9047	25.33
2.65e+010	14.8038	24.8155
