frequency	e'	e''
5e+008	83.8315	-1.95683
1e+009	83.6937	3.54321
1.5e+009	83.192	7.40032
2e+009	82.4001	10.7552
2.5e+009	81.358	13.8544
3e+009	80.1488	16.7369
3.5e+009	78.7474	19.4435
4e+009	77.1678	21.937
4.5e+009	75.4851	24.2536
5e+009	73.712	26.4055
5.5e+009	71.8055	28.3451
6e+009	69.8289	30.0895
6.5e+009	67.8383	31.6612
7e+009	65.8149	33.0417
7.5e+009	63.7935	34.2465
8e+009	61.7759	35.317
8.5e+009	59.7565	36.2054
9e+009	57.7823	36.9542
9.5e+009	55.8273	37.6169
1e+010	53.8998	38.0974
1.05e+010	52.085	38.5003
1.1e+010	50.2824	38.8026
1.15e+010	48.5121	38.9698
1.2e+010	46.8921	39.0861
1.25e+010	45.2536	39.1345
1.3e+010	43.6717	39.0673
1.35e+010	42.2378	39.018
1.4e+010	40.8076	38.9025
1.45e+010	39.4114	38.662
1.5e+010	38.1461	38.4823
1.55e+010	36.9282	38.2634
1.6e+010	35.7006	37.8861
1.65e+010	34.6023	37.6189
1.7e+010	33.5071	37.3792
1.75e+010	32.5025	36.9234
1.8e+010	31.567	36.5994
1.85e+010	30.5755	36.3074
1.9e+010	29.7503	35.8275
1.95e+010	28.9418	35.4263
2e+010	28.0246	35.1105
2.05e+010	27.3045	34.673
2.1e+010	26.6732	34.3171
2.15e+010	25.8401	33.9199
2.2e+010	25.2067	33.465
2.25e+010	24.6901	33.18
2.3e+010	23.9729	32.7301
2.35e+010	23.4123	32.1946
2.4e+010	22.9381	32.0719
2.45e+010	22.3129	31.6055
2.5e+010	21.9601	31.0695
2.55e+010	21.4675	30.9457
2.6e+010	20.8894	30.4762
2.65e+010	20.5705	29.9336
