frequency	e'	e''
5e+008	12.7081	-0.31201
1e+009	12.2239	0.501572
1.5e+009	12.3029	1.06821
2e+009	12.1664	1.56276
2.5e+009	11.8882	1.97138
3e+009	11.6714	2.40303
3.5e+009	11.3867	2.81335
4e+009	10.95	3.14004
4.5e+009	10.5898	3.36643
5e+009	10.2591	3.56997
5.5e+009	9.91718	3.70406
6e+009	9.60271	3.80254
6.5e+009	9.303	3.88838
7e+009	8.99266	3.96406
7.5e+009	8.73608	4.01565
8e+009	8.4925	4.06154
8.5e+009	8.21553	4.09225
9e+009	7.97527	4.09933
9.5e+009	7.7371	4.09847
1e+010	7.49377	4.06607
1.05e+010	7.29574	4.03907
1.1e+010	7.08216	3.99992
1.15e+010	6.86913	3.94286
1.2e+010	6.72973	3.90185
1.25e+010	6.52696	3.7923
1.3e+010	6.31285	3.65693
1.35e+010	6.17642	3.59917
1.4e+010	6.02846	3.54404
1.45e+010	5.88944	3.47077
1.5e+010	5.76646	3.42511
1.55e+010	5.64893	3.37173
1.6e+010	5.53814	3.29522
1.65e+010	5.44413	3.24078
1.7e+010	5.33203	3.19254
1.75e+010	5.25447	3.11961
1.8e+010	5.18098	3.0642
1.85e+010	5.08586	3.02147
1.9e+010	5.0248	2.94777
1.95e+010	4.97436	2.89888
2e+010	4.88864	2.84953
2.05e+010	4.83843	2.79703
2.1e+010	4.80333	2.75741
2.15e+010	4.74193	2.70659
2.2e+010	4.69276	2.66234
2.25e+010	4.67344	2.63608
2.3e+010	4.61857	2.58595
2.35e+010	4.57902	2.53705
2.4e+010	4.55319	2.53867
2.45e+010	4.50198	2.49931
2.5e+010	4.49169	2.43715
2.55e+010	4.46245	2.42659
2.6e+010	4.41886	2.38163
2.65e+010	4.40658	2.32247
