frequency	e'	e''
5e+008	82.9041	-2.08917
1e+009	82.8667	3.17712
1.5e+009	82.4516	6.82043
2e+009	81.7737	9.98415
2.5e+009	80.862	12.9073
3e+009	79.803	15.6426
3.5e+009	78.5706	18.2185
4e+009	77.1662	20.6046
4.5e+009	75.6615	22.846
5e+009	74.0628	24.9418
5.5e+009	72.3401	26.8466
6e+009	70.5394	28.5833
6.5e+009	68.7154	30.1679
7e+009	66.853	31.5797
7.5e+009	64.9754	32.8357
8e+009	63.0885	33.9636
8.5e+009	61.1971	34.9273
9e+009	59.3286	35.7706
9.5e+009	57.4729	36.5144
1e+010	55.636	37.0953
1.05e+010	53.8875	37.6022
1.1e+010	52.1458	38.0061
1.15e+010	50.4325	38.282
1.2e+010	48.8414	38.507
1.25e+010	47.2372	38.654
1.3e+010	45.6852	38.6986
1.35e+010	44.2509	38.7386
1.4e+010	42.8247	38.7136
1.45e+010	41.4384	38.5741
1.5e+010	40.1537	38.4708
1.55e+010	38.9209	38.3216
1.6e+010	37.6868	38.0397
1.65e+010	36.5511	37.8389
1.7e+010	35.4385	37.6497
1.75e+010	34.4033	37.2739
1.8e+010	33.429	37.0027
1.85e+010	32.412	36.7547
1.9e+010	31.5447	36.3449
1.95e+010	30.6891	35.9855
2e+010	29.7578	35.7038
2.05e+010	28.9984	35.3186
2.1e+010	28.3055	34.9887
2.15e+010	27.4602	34.6242
2.2e+010	26.7823	34.2193
2.25e+010	26.2087	33.9332
2.3e+010	25.4778	33.517
2.35e+010	24.873	33.0384
2.4e+010	24.3523	32.8889
2.45e+010	23.714	32.4558
2.5e+010	23.3025	31.9654
2.55e+010	22.7657	31.8059
2.6e+010	22.1823	31.3673
2.65e+010	21.8011	30.8609
