frequency	e'	e''
5e+008	83.3764	-0.838221
1e+009	82.4129	6.06084
1.5e+009	81.5969	11.1724
2e+009	80.2244	15.8022
2.5e+009	78.2483	20.4769
3e+009	75.0915	24.0907
3.5e+009	72.5896	27.0053
4e+009	69.8105	29.896
4.5e+009	66.7606	32.4037
5e+009	63.6706	34.4097
5.5e+009	60.6036	35.9957
6e+009	57.5499	37.2166
6.5e+009	54.6048	38.1989
7e+009	51.7576	38.9349
7.5e+009	49.0507	39.3997
8e+009	46.4669	39.7083
8.5e+009	43.9513	39.8156
9e+009	41.5926	39.7318
9.5e+009	39.3513	39.5691
1e+010	37.2074	39.2361
1.05e+010	35.2671	38.8163
1.1e+010	33.4308	38.3389
1.15e+010	31.6977	37.7486
1.2e+010	30.1861	37.1518
1.25e+010	28.7345	36.5475
1.3e+010	27.3535	35.8781
1.35e+010	26.1441	35.2534
1.4e+010	24.9831	34.625
1.45e+010	23.8677	33.9258
1.5e+010	22.885	33.3041
1.55e+010	21.9628	32.6899
1.6e+010	21.0764	31.979
1.65e+010	20.2845	31.3791
1.7e+010	19.5067	30.8147
1.75e+010	18.8397	30.1164
1.8e+010	18.2335	29.5506
1.85e+010	17.5897	29.015
1.9e+010	17.1042	28.3834
1.95e+010	16.6508	27.8341
2e+010	16.1084	27.3418
2.05e+010	15.7315	26.8207
2.1e+010	15.3987	26.3986
2.15e+010	14.9352	25.9088
2.2e+010	14.6271	25.4378
2.25e+010	14.3672	25.1296
2.3e+010	13.9821	24.6667
2.35e+010	13.7115	24.1889
2.4e+010	13.4648	23.9888
2.45e+010	13.1529	23.5536
2.5e+010	13.0066	23.0989
2.55e+010	12.7446	22.8844
2.6e+010	12.4706	22.4464
2.65e+010	12.3707	22.0007
