frequency	e'	e''
5e+008	18.3925	-1.09354
1e+009	17.916	0.0678578
1.5e+009	18.097	0.763341
2e+009	17.9673	1.31446
2.5e+009	17.6883	1.78969
3e+009	17.4944	2.22436
3.5e+009	17.2394	2.61198
4e+009	16.9299	2.95429
4.5e+009	16.6393	3.27083
5e+009	16.3632	3.55859
5.5e+009	16.0607	3.79791
6e+009	15.7415	4.00174
6.5e+009	15.4282	4.17649
7e+009	15.1081	4.32525
7.5e+009	14.8368	4.44643
8e+009	14.5802	4.55514
8.5e+009	14.2924	4.64036
9e+009	14.0437	4.70625
9.5e+009	13.7995	4.77498
1e+010	13.5316	4.81236
1.05e+010	13.3108	4.8509
1.1e+010	13.0767	4.87331
1.15e+010	12.8276	4.88009
1.2e+010	12.653	4.89803
1.25e+010	12.4547	4.9132
1.3e+010	12.2255	4.89208
1.35e+010	12.0628	4.89379
1.4e+010	11.881	4.8877
1.45e+010	11.686	4.85418
1.5e+010	11.5324	4.85041
1.55e+010	11.3766	4.84064
1.6e+010	11.211	4.79887
1.65e+010	11.082	4.78524
1.7e+010	10.9286	4.77952
1.75e+010	10.7982	4.72711
1.8e+010	10.6932	4.70591
1.85e+010	10.5535	4.70483
1.9e+010	10.4454	4.64474
1.95e+010	10.3577	4.62094
2e+010	10.2236	4.60617
2.05e+010	10.129	4.56938
2.1e+010	10.0671	4.55165
2.15e+010	9.94943	4.52105
2.2e+010	9.85775	4.48037
2.25e+010	9.82237	4.47413
2.3e+010	9.71639	4.43561
2.35e+010	9.62993	4.37857
2.4e+010	9.60155	4.40631
2.45e+010	9.50743	4.36722
2.5e+010	9.47054	4.28784
2.55e+010	9.43191	4.31142
2.6e+010	9.34413	4.26447
2.65e+010	9.30867	4.19008
