frequency	e'	e''
5e+008	89.2665	-1.01238
1e+009	88.1723	6.31492
1.5e+009	87.2102	11.6815
2e+009	85.5375	16.3359
2.5e+009	83.471	20.5669
3e+009	81.0699	24.3861
3.5e+009	78.3591	27.7499
4e+009	75.4462	30.6873
4.5e+009	72.4594	33.2091
5e+009	69.4494	35.3689
5.5e+009	66.3808	37.1575
6e+009	63.2639	38.5487
6.5e+009	60.2442	39.6528
7e+009	57.328	40.5053
7.5e+009	54.5462	41.0679
8e+009	51.8971	41.4406
8.5e+009	49.3436	41.6224
9e+009	46.9389	41.6183
9.5e+009	44.6694	41.5337
1e+010	42.4881	41.2896
1.05e+010	40.5	40.9642
1.1e+010	38.6229	40.5898
1.15e+010	36.8189	40.1171
1.2e+010	35.214	39.6118
1.25e+010	33.6762	39.0866
1.3e+010	32.2101	38.505
1.35e+010	30.9008	37.9388
1.4e+010	29.655	37.3664
1.45e+010	28.4554	36.7272
1.5e+010	27.3862	36.1491
1.55e+010	26.3883	35.5809
1.6e+010	25.4156	34.9295
1.65e+010	24.5488	34.3684
1.7e+010	23.7025	33.8477
1.75e+010	22.9432	33.216
1.8e+010	22.2526	32.6944
1.85e+010	21.526	32.2068
1.9e+010	20.9336	31.6183
1.95e+010	20.3761	31.1033
2e+010	19.7367	30.6423
2.05e+010	19.2434	30.1296
2.1e+010	18.8165	29.7002
2.15e+010	18.2643	29.224
2.2e+010	17.8514	28.7472
2.25e+010	17.517	28.4085
2.3e+010	17.0679	27.947
2.35e+010	16.727	27.4574
2.4e+010	16.418	27.2264
2.45e+010	16.0548	26.7742
2.5e+010	15.8475	26.3073
2.55e+010	15.5448	26.0837
2.6e+010	15.2211	25.6546
2.65e+010	15.0555	25.2069
