frequency	e'	e''
5e+008	87.4163	-1.43045
1e+009	86.8046	5.18976
1.5e+009	85.7461	9.9809
2e+009	84.4076	14.1611
2.5e+009	82.7717	17.9889
3e+009	80.878	21.4717
3.5e+009	78.7271	24.6364
4e+009	76.3702	27.4644
4.5e+009	73.8935	29.9943
5e+009	71.3426	32.2439
5.5e+009	68.6766	34.1583
6e+009	65.9714	35.7602
6.5e+009	63.318	37.1134
7e+009	60.6833	38.2011
7.5e+009	58.1243	39.0546
8e+009	55.6485	39.7432
8.5e+009	53.2332	40.2103
9e+009	50.926	40.509
9.5e+009	48.6965	40.7113
1e+010	46.5424	40.7263
1.05e+010	44.5675	40.6696
1.1e+010	42.6484	40.5317
1.15e+010	40.8064	40.2615
1.2e+010	39.1669	39.9696
1.25e+010	37.5354	39.6279
1.3e+010	35.9807	39.1862
1.35e+010	34.6135	38.7954
1.4e+010	33.2638	38.3548
1.45e+010	31.9645	37.8025
1.5e+010	30.8186	37.3497
1.55e+010	29.7199	36.8819
1.6e+010	28.6391	36.2588
1.65e+010	27.6871	35.7754
1.7e+010	26.7312	35.3496
1.75e+010	25.8869	34.7104
1.8e+010	25.1176	34.2294
1.85e+010	24.2733	33.8013
1.9e+010	23.6129	33.186
1.95e+010	22.9761	32.6794
2e+010	22.2018	32.259
2.05e+010	21.641	31.7282
2.1e+010	21.1707	31.3135
2.15e+010	20.4848	30.8384
2.2e+010	20.0076	30.3311
2.25e+010	19.6396	30.0149
2.3e+010	19.06	29.5162
2.35e+010	18.6554	28.952
2.4e+010	18.3073	28.8071
2.45e+010	17.8233	28.3163
2.5e+010	17.6099	27.776
2.55e+010	17.2398	27.6262
2.6e+010	16.793	27.1376
2.65e+010	16.6125	26.6083
