frequency	e'	e''
5e+008	90.2922	-0.677754
1e+009	88.9594	7.16615
1.5e+009	87.7165	12.9808
2e+009	85.8018	18.017
2.5e+009	83.2491	22.5143
3e+009	80.4416	26.4776
3.5e+009	77.329	29.9054
4e+009	74.0147	32.8257
4.5e+009	70.638	35.2965
5e+009	67.271	37.3323
5.5e+009	63.8846	38.9114
6e+009	60.519	40.073
6.5e+009	57.2971	40.9206
7e+009	54.2318	41.5018
7.5e+009	51.3566	41.8164
8e+009	48.6407	41.9312
8.5e+009	46.0582	41.8622
9e+009	43.6582	41.6407
9.5e+009	41.4016	41.3281
1e+010	39.277	40.8831
1.05e+010	37.3521	40.3868
1.1e+010	35.5383	39.8432
1.15e+010	33.8315	39.2223
1.2e+010	32.3217	38.5958
1.25e+010	30.8752	37.9496
1.3e+010	29.5089	37.2628
1.35e+010	28.3009	36.6136
1.4e+010	27.1468	35.9604
1.45e+010	26.053	35.2462
1.5e+010	25.0836	34.6183
1.55e+010	24.1716	34.0041
1.6e+010	23.3083	33.3091
1.65e+010	22.5259	32.7169
1.7e+010	21.7572	32.1672
1.75e+010	21.087	31.5088
1.8e+010	20.4774	30.974
1.85e+010	19.8292	30.4645
1.9e+010	19.3101	29.8757
1.95e+010	18.8173	29.3581
2e+010	18.2525	28.8881
2.05e+010	17.8287	28.3751
2.1e+010	17.4468	27.9534
2.15e+010	16.9692	27.4757
2.2e+010	16.6161	27.0115
2.25e+010	16.3139	26.6613
2.3e+010	15.9271	26.2059
2.35e+010	15.6397	25.7375
2.4e+010	15.3659	25.5042
2.45e+010	15.0519	25.0657
2.5e+010	14.8921	24.6315
2.55e+010	14.6046	24.4058
2.6e+010	14.3315	23.9893
2.65e+010	14.1934	23.5712
