frequency	e'	e''
5e+008	89.3294	-1.12301
1e+009	88.2087	6.32499
1.5e+009	87.2358	11.7898
2e+009	85.5237	16.5258
2.5e+009	83.35	20.781
3e+009	80.9145	24.5901
3.5e+009	78.1678	27.9454
4e+009	75.2428	30.8921
4.5e+009	72.2056	33.4351
5e+009	69.1413	35.6013
5.5e+009	66.0191	37.3474
6e+009	62.8715	38.6976
6.5e+009	59.8323	39.7741
7e+009	56.9047	40.5875
7.5e+009	54.1191	41.1183
8e+009	51.4596	41.4733
8.5e+009	48.8993	41.6166
9e+009	46.5001	41.5893
9.5e+009	44.2198	41.4829
1e+010	42.0403	41.1983
1.05e+010	40.0768	40.8584
1.1e+010	38.1924	40.4668
1.15e+010	36.3986	39.9571
1.2e+010	34.8326	39.4461
1.25e+010	33.2909	38.9092
1.3e+010	31.8229	38.2881
1.35e+010	30.5546	37.7345
1.4e+010	29.3089	37.1552
1.45e+010	28.1159	36.4774
1.5e+010	27.0829	35.9148
1.55e+010	26.0853	35.3574
1.6e+010	25.1261	34.6617
1.65e+010	24.2882	34.1142
1.7e+010	23.4285	33.6165
1.75e+010	22.6928	32.9414
1.8e+010	22.0316	32.4367
1.85e+010	21.2868	31.9664
1.9e+010	20.7273	31.3392
1.95e+010	20.1943	30.8375
2e+010	19.5188	30.3876
2.05e+010	19.0562	29.8531
2.1e+010	18.6645	29.4543
2.15e+010	18.0747	28.9714
2.2e+010	17.6929	28.4702
2.25e+010	17.386	28.1749
2.3e+010	16.8986	27.6872
2.35e+010	16.5913	27.1543
2.4e+010	16.3006	27.0089
2.45e+010	15.9045	26.5271
2.5e+010	15.765	26.0261
2.55e+010	15.4482	25.8804
2.6e+010	15.0908	25.4024
2.65e+010	14.9817	24.9267
