frequency	e'	e''
5e+008	86.7026	-1.54842
1e+009	86.229	4.82772
1.5e+009	85.2975	9.40828
2e+009	84.0623	13.418
2.5e+009	82.5326	17.0836
3e+009	80.7891	20.4541
3.5e+009	78.8151	23.5376
4e+009	76.6507	26.3147
4.5e+009	74.3581	28.8194
5e+009	71.9689	31.0664
5.5e+009	69.461	33.0062
6e+009	66.8986	34.6676
6.5e+009	64.384	36.093
7e+009	61.8773	37.2653
7.5e+009	59.4195	38.208
8e+009	57.0217	38.9872
8.5e+009	54.6662	39.5544
9e+009	52.4086	39.9571
9.5e+009	50.2179	40.2694
1e+010	48.0954	40.3911
1.05e+010	46.1382	40.4304
1.1e+010	44.2203	40.3789
1.15e+010	42.3732	40.1968
1.2e+010	40.7222	39.9885
1.25e+010	39.0711	39.7199
1.3e+010	37.4964	39.3486
1.35e+010	36.1048	39.0297
1.4e+010	34.7302	38.644
1.45e+010	33.3976	38.1441
1.5e+010	32.2162	37.7423
1.55e+010	31.0919	37.3172
1.6e+010	29.97	36.7243
1.65e+010	28.9764	36.2813
1.7e+010	27.9918	35.8902
1.75e+010	27.1164	35.2751
1.8e+010	26.3045	34.8114
1.85e+010	25.4253	34.4076
1.9e+010	24.74	33.8074
1.95e+010	24.0608	33.3037
2e+010	23.2471	32.9005
2.05e+010	22.6549	32.389
2.1e+010	22.1609	31.9713
2.15e+010	21.4355	31.503
2.2e+010	20.9221	31.0042
2.25e+010	20.5356	30.6917
2.3e+010	19.9273	30.1918
2.35e+010	19.4782	29.6238
2.4e+010	19.1106	29.4894
2.45e+010	18.6039	28.9997
2.5e+010	18.3643	28.4485
2.55e+010	17.9709	28.3025
2.6e+010	17.5049	27.8156
2.65e+010	17.2897	27.2684
