frequency	e'	e''
5e+008	89.7997	5.00049
1.5e+009	86.8589	14.2442
2.5e+009	82.6759	22.5718
3.5e+009	77.1333	29.3499
4.5e+009	70.931	34.478
5.5e+009	64.5751	38.0241
6.5e+009	58.312	40.0826
7.5e+009	52.6249	41.1376
8.5e+009	47.505	41.3705
9.5e+009	42.9465	40.9794
1.05e+010	38.9355	40.2267
1.15e+010	35.4641	39.2618
1.25e+010	32.4678	38.0947
1.35e+010	29.8382	36.9051
1.45e+010	27.5799	35.7007
1.55e+010	25.6214	34.4808
1.65e+010	23.8787	33.3251
1.75e+010	22.3962	32.2455
1.85e+010	21.0992	31.171
1.95e+010	19.92	30.1781
2.05e+010	18.9081	29.2954
2.15e+010	18.0361	28.3694
2.25e+010	17.2087	27.5169
2.35e+010	16.4812	26.7927
2.45e+010	15.9328	26.0407
2.55e+010	15.3352	25.2654
2.65e+010	14.8048	24.6472
