frequency	e'	e''
5e+008	89.0978	4.64013
1.5e+009	86.6643	13.3861
2.5e+009	82.8722	21.3498
3.5e+009	77.8545	27.9377
4.5e+009	72.1735	33.1502
5.5e+009	66.2472	36.91
6.5e+009	60.2901	39.2767
7.5e+009	54.7606	40.6678
8.5e+009	49.7025	41.2261
9.5e+009	45.1335	41.1358
1.05e+010	41.0543	40.6368
1.15e+010	37.4585	39.8689
1.25e+010	34.3489	38.8734
1.35e+010	31.5913	37.812
1.45e+010	29.1804	36.6916
1.55e+010	27.103	35.5677
1.65e+010	25.2416	34.4536
1.75e+010	23.6391	33.4113
1.85e+010	22.2286	32.3866
1.95e+010	20.9732	31.4054
2.05e+010	19.87	30.5195
2.15e+010	18.9037	29.6112
2.25e+010	18.0312	28.7748
2.35e+010	17.2365	28.024
2.45e+010	16.6109	27.2702
2.55e+010	15.9815	26.505
2.65e+010	15.4336	25.8323
