frequency	e'	e''
5e+008	3.01095	-0.567793
1.5e+009	2.8453	-0.285958
2.5e+009	2.75917	-0.23035
3.5e+009	2.76092	-0.208737
4.5e+009	2.74647	-0.200572
5.5e+009	2.77721	-0.210996
6.5e+009	2.79812	-0.204519
7.5e+009	2.80146	-0.209767
8.5e+009	2.82163	-0.227524
9.5e+009	2.85097	-0.234986
1.05e+010	2.86924	-0.232199
1.15e+010	2.84638	-0.25017
1.25e+010	2.85769	-0.262382
1.35e+010	2.86456	-0.252916
1.45e+010	2.84542	-0.269638
1.55e+010	2.8369	-0.27727
1.65e+010	2.84912	-0.261031
1.75e+010	2.82283	-0.276196
1.85e+010	2.81909	-0.284378
1.95e+010	2.83121	-0.257077
2.05e+010	2.8118	-0.278312
2.15e+010	2.81887	-0.290883
2.25e+010	2.81768	-0.263581
2.35e+010	2.83193	-0.292926
2.45e+010	2.84564	-0.299821
2.55e+010	2.85835	-0.285685
2.65e+010	2.89238	-0.3029
