frequency	e'	e''
5e+008	89.1011	4.63756
1.5e+009	86.6665	13.3649
2.5e+009	82.8807	21.3445
3.5e+009	77.8513	27.9369
4.5e+009	72.1886	33.1554
5.5e+009	66.2587	36.9221
6.5e+009	60.2876	39.2928
7.5e+009	54.7548	40.6875
8.5e+009	49.692	41.2436
9.5e+009	45.1216	41.1468
1.05e+010	41.04	40.6459
1.15e+010	37.445	39.8765
1.25e+010	34.3353	38.8726
1.35e+010	31.576	37.8144
1.45e+010	29.1721	36.6925
1.55e+010	27.0921	35.5634
1.65e+010	25.2297	34.4554
1.75e+010	23.6318	33.4153
1.85e+010	22.2199	32.3835
1.95e+010	20.9615	31.4002
2.05e+010	19.8609	30.5206
2.15e+010	18.8967	29.6084
2.25e+010	18.0191	28.7747
2.35e+010	17.2213	28.0265
2.45e+010	16.6061	27.2749
2.55e+010	15.9641	26.5042
2.65e+010	15.4189	25.8288
