frequency	e'	e''
5e+008	89.0995	4.62495
1.5e+009	86.6575	13.3839
2.5e+009	82.8575	21.3504
3.5e+009	77.8432	27.9347
4.5e+009	72.1576	33.1452
5.5e+009	66.2248	36.9101
6.5e+009	60.2702	39.2727
7.5e+009	54.7394	40.6591
8.5e+009	49.683	41.2174
9.5e+009	45.1193	41.1288
1.05e+010	41.0372	40.6239
1.15e+010	37.4429	39.8589
1.25e+010	34.3356	38.8645
1.35e+010	31.5777	37.7993
1.45e+010	29.1676	36.6805
1.55e+010	27.0914	35.5544
1.65e+010	25.235	34.4417
1.75e+010	23.6297	33.3983
1.85e+010	22.2183	32.3748
1.95e+010	20.9692	31.3905
2.05e+010	19.8604	30.5028
2.15e+010	18.8956	29.6002
2.25e+010	18.0247	28.7639
2.35e+010	17.2348	28.0054
2.45e+010	16.6014	27.2607
2.55e+010	15.9786	26.4961
2.65e+010	15.4237	25.8163
