frequency	e'	e''
5e+008	48.1856	1.8375
1.5e+009	47.0203	6.11405
2.5e+009	45.0561	9.80068
3.5e+009	42.6106	12.7739
4.5e+009	39.9041	15.0896
5.5e+009	37.1631	16.7587
6.5e+009	34.3956	17.7957
7.5e+009	31.8601	18.3926
8.5e+009	29.5755	18.6235
9.5e+009	27.5253	18.5801
1.05e+010	25.6882	18.3828
1.15e+010	24.0628	18.0697
1.25e+010	22.6547	17.6577
1.35e+010	21.3894	17.237
1.45e+010	20.2817	16.7886
1.55e+010	19.3121	16.3194
1.65e+010	18.443	15.8847
1.75e+010	17.6841	15.4625
1.85e+010	17.0168	15.0308
1.95e+010	16.4165	14.6476
2.05e+010	15.8967	14.2929
2.15e+010	15.4338	13.905
2.25e+010	15.0025	13.5601
2.35e+010	14.6422	13.2715
2.45e+010	14.352	12.9372
2.55e+010	14.0363	12.6097
2.65e+010	13.7796	12.3592
