frequency	e'	e''
5e+008	88.7446	4.61375
1.5e+009	86.3289	13.3888
2.5e+009	82.4871	21.341
3.5e+009	77.4574	27.9021
4.5e+009	71.7514	33.0631
5.5e+009	65.8062	36.7827
6.5e+009	59.8401	39.0851
7.5e+009	54.3351	40.4116
8.5e+009	49.3189	40.9266
9.5e+009	44.7957	40.7977
1.05e+010	40.7627	40.2734
1.15e+010	37.2149	39.4927
1.25e+010	34.1562	38.4924
1.35e+010	31.445	37.4324
1.45e+010	29.0757	36.3274
1.55e+010	27.0301	35.208
1.65e+010	25.2003	34.1205
1.75e+010	23.6179	33.0934
1.85e+010	22.2303	32.0812
1.95e+010	20.9861	31.1239
2.05e+010	19.9006	30.258
2.15e+010	18.949	29.3691
2.25e+010	18.0762	28.5413
2.35e+010	17.2945	27.81
2.45e+010	16.6789	27.0715
2.55e+010	16.0499	26.315
2.65e+010	15.4994	25.6649
