frequency	e'	e''
5e+008	89.0503	4.65977
1.5e+009	86.6471	13.3468
2.5e+009	82.9084	21.3045
3.5e+009	77.8932	27.9345
4.5e+009	72.2224	33.0995
5.5e+009	66.305	36.9002
6.5e+009	60.3436	39.2876
7.5e+009	54.8053	40.6735
8.5e+009	49.7411	41.2327
9.5e+009	45.1811	41.1433
1.05e+010	41.1008	40.6449
1.15e+010	37.5065	39.8814
1.25e+010	34.4004	38.8867
1.35e+010	31.6417	37.8326
1.45e+010	29.2349	36.7254
1.55e+010	27.1479	35.5937
1.65e+010	25.2898	34.4944
1.75e+010	23.6782	33.4533
1.85e+010	22.27	32.4268
1.95e+010	21.0047	31.453
2.05e+010	19.8983	30.569
2.15e+010	18.9297	29.6643
2.25e+010	18.048	28.8222
2.35e+010	17.2491	28.0766
2.45e+010	16.6236	27.3238
2.55e+010	15.9921	26.5559
2.65e+010	15.4266	25.8847
