frequency	e'	e''
5e+008	89.058	4.66597
1.5e+009	86.6125	13.3966
2.5e+009	82.7936	21.3571
3.5e+009	77.7697	27.9417
4.5e+009	72.0713	33.1415
5.5e+009	66.1416	36.8847
6.5e+009	60.1822	39.2284
7.5e+009	54.6683	40.5979
8.5e+009	49.6254	41.1462
9.5e+009	45.0743	41.0508
1.05e+010	41.0101	40.5507
1.15e+010	37.4273	39.7858
1.25e+010	34.3336	38.7962
1.35e+010	31.5815	37.7477
1.45e+010	29.1794	36.6324
1.55e+010	27.1038	35.5204
1.65e+010	25.2422	34.4091
1.75e+010	23.6427	33.3761
1.85e+010	22.2261	32.3575
1.95e+010	20.9748	31.3706
2.05e+010	19.8629	30.4989
2.15e+010	18.8963	29.5884
2.25e+010	18.0287	28.7593
2.35e+010	17.2228	27.9972
2.45e+010	16.6013	27.2604
2.55e+010	15.9773	26.4928
2.65e+010	15.4244	25.8045
