frequency	e'	e''
5e+008	19.4756	0.0113493
1.5e+009	19.2651	1.26813
2.5e+009	18.7522	2.22154
3.5e+009	18.1717	3.00283
4.5e+009	17.537	3.64829
5.5e+009	16.9326	4.16597
6.5e+009	16.2642	4.55796
7.5e+009	15.6201	4.84192
8.5e+009	15.0339	5.02997
9.5e+009	14.4914	5.15399
1.05e+010	13.9672	5.23734
1.15e+010	13.4648	5.26572
1.25e+010	13.0324	5.26496
1.35e+010	12.6171	5.25912
1.45e+010	12.2351	5.22384
1.55e+010	11.8852	5.18035
1.65e+010	11.5732	5.14406
1.75e+010	11.2798	5.09733
1.85e+010	11.0118	5.03651
1.95e+010	10.7817	4.99418
2.05e+010	10.5607	4.94974
2.15e+010	10.3587	4.87237
2.25e+010	10.1753	4.82423
2.35e+010	10.021	4.78
2.45e+010	9.884	4.70187
2.55e+010	9.74376	4.63246
2.65e+010	9.63481	4.58815
