frequency	e'	e''
5e+008	83.1682	4.2956
1.5e+009	81.0132	12.5186
2.5e+009	77.641	20.1593
3.5e+009	72.4849	26.9479
4.5e+009	66.9951	31.3855
5.5e+009	61.3077	35.0068
6.5e+009	55.5526	37.1262
7.5e+009	50.272	38.3593
8.5e+009	45.4252	38.7665
9.5e+009	41.0989	38.5558
1.05e+010	37.242	37.9813
1.15e+010	33.8801	37.1564
1.25e+010	30.9649	36.1295
1.35e+010	28.3986	35.0438
1.45e+010	26.1624	33.9503
1.55e+010	24.2221	32.7814
1.65e+010	22.5129	31.6954
1.75e+010	21.0296	30.6286
1.85e+010	19.7937	29.5719
1.95e+010	18.6536	28.6462
2.05e+010	17.715	27.7656
2.15e+010	16.8696	26.906
2.25e+010	16.065	26.0757
2.35e+010	15.4168	25.3995
2.45e+010	14.8816	24.6388
2.55e+010	14.3123	23.9225
2.65e+010	13.85	23.359
