frequency	e'	e''
5e+008	81.0082	0.433888
1.5e+009	80.4521	6.43209
2.5e+009	79.3003	11.2331
3.5e+009	77.6213	15.6943
4.5e+009	75.4587	19.6983
5.5e+009	72.9591	23.3119
6.5e+009	70.1687	26.5023
7.5e+009	67.1956	29.1945
8.5e+009	64.1262	31.4662
9.5e+009	61.0114	33.347
1.05e+010	57.9179	34.8044
1.15e+010	54.9086	35.9478
1.25e+010	51.9605	36.7932
1.35e+010	49.1704	37.343
1.45e+010	46.5173	37.6507
1.55e+010	43.9491	37.7955
1.65e+010	41.6412	37.7888
1.75e+010	39.4207	37.5772
1.85e+010	37.3266	37.3243
1.95e+010	35.4316	37.0254
2.05e+010	33.6887	36.5475
2.15e+010	31.985	36.0525
2.25e+010	30.4109	35.5887
2.35e+010	29.0987	35.0371
2.45e+010	27.7036	34.3767
2.55e+010	26.4033	33.8761
2.65e+010	25.3543	33.3108
