frequency	e'	e''
5e+008	79.2678	0.314641
1.5e+009	78.8588	5.53376
2.5e+009	77.9752	9.69414
3.5e+009	76.7659	13.6259
4.5e+009	75.0245	17.2761
5.5e+009	73.0464	20.5143
6.5e+009	70.8985	23.5064
7.5e+009	68.5057	26.2158
8.5e+009	65.9349	28.564
9.5e+009	63.2936	30.5482
1.05e+010	60.6343	32.2224
1.15e+010	58.0006	33.6484
1.25e+010	55.3516	34.7848
1.35e+010	52.771	35.6628
1.45e+010	50.2944	36.3138
1.55e+010	47.8608	36.7828
1.65e+010	45.5906	37.098
1.75e+010	43.4033	37.2155
1.85e+010	41.3123	37.2437
1.95e+010	39.358	37.1995
2.05e+010	37.5368	37.0075
2.15e+010	35.7698	36.7252
2.25e+010	34.0813	36.4527
2.35e+010	32.636	36.0933
2.45e+010	31.1658	35.6094
2.55e+010	29.7276	35.216
2.65e+010	28.5313	34.8036
