frequency	e'	e''
5e+008	79.2458	0.229522
1.5e+009	78.865	5.50006
2.5e+009	77.9847	9.70936
3.5e+009	76.7228	13.6006
4.5e+009	75.0396	17.2303
5.5e+009	73.0805	20.5311
6.5e+009	70.8847	23.5555
7.5e+009	68.4615	26.2174
8.5e+009	65.918	28.5455
9.5e+009	63.2884	30.5629
1.05e+010	60.6093	32.2355
1.15e+010	57.9703	33.6529
1.25e+010	55.3159	34.79
1.35e+010	52.7443	35.6582
1.45e+010	50.2679	36.3023
1.55e+010	47.8226	36.7772
1.65e+010	45.5668	37.0855
1.75e+010	43.3756	37.1893
1.85e+010	41.2765	37.2274
1.95e+010	39.349	37.1854
2.05e+010	37.524	36.9676
2.15e+010	35.7431	36.6951
2.25e+010	34.0672	36.4329
2.35e+010	32.6439	36.05
2.45e+010	31.1405	35.5667
2.55e+010	29.707	35.2002
2.65e+010	28.5484	34.7777
