frequency	e'	e''
5e+008	88.2058	2.01293
1.5e+009	85.7611	11.4392
2.5e+009	82.7087	19.0871
3.5e+009	78.3952	25.5967
4.5e+009	73.3801	30.7997
5.5e+009	68.0552	34.8126
6.5e+009	62.571	37.5924
7.5e+009	57.3485	39.3776
8.5e+009	52.4551	40.378
9.5e+009	47.9241	40.7438
1.05e+010	43.8503	40.5945
1.15e+010	40.1753	40.1161
1.25e+010	36.9018	39.4198
1.35e+010	34.0653	38.583
1.45e+010	31.4901	37.5588
1.55e+010	29.2344	36.6068
1.65e+010	27.2698	35.5639
1.75e+010	25.5378	34.5167
1.85e+010	23.9289	33.558
1.95e+010	22.625	32.547
2.05e+010	21.3792	31.6387
2.15e+010	20.243	30.7244
2.25e+010	19.3617	29.9533
2.35e+010	18.4354	29.0129
2.45e+010	17.6427	28.301
2.55e+010	17.0182	27.6104
2.65e+010	16.4229	26.7319
