frequency	e'	e''
5e+008	81.0792	0.455365
1.5e+009	80.5017	6.45882
2.5e+009	79.3403	11.2829
3.5e+009	77.6458	15.7584
4.5e+009	75.4683	19.7748
5.5e+009	72.9518	23.397
6.5e+009	70.1413	26.5918
7.5e+009	67.1511	29.2832
8.5e+009	64.0648	31.5512
9.5e+009	60.9367	33.4235
1.05e+010	57.8303	34.8751
1.15e+010	54.8111	36.0099
1.25e+010	51.8531	36.8459
1.35e+010	49.0578	37.3841
1.45e+010	46.4038	37.6834
1.55e+010	43.8339	37.8162
1.65e+010	41.521	37.8023
1.75e+010	39.304	37.5794
1.85e+010	37.2126	37.3158
1.95e+010	35.3205	37.0117
2.05e+010	33.5785	36.5293
2.15e+010	31.8789	36.0274
2.25e+010	30.307	35.5552
2.35e+010	28.9955	35.0019
2.45e+010	27.6074	34.3374
2.55e+010	26.3073	33.8254
2.65e+010	25.2663	33.264
