frequency	e'	e''
5e+008	89.7577	6.09728
1e+009	87.2698	9.21282
1.5e+009	86.3472	12.972
2e+009	84.8948	16.6464
2.5e+009	83.1619	20.2381
3e+009	81.0225	23.4671
3.5e+009	78.713	26.4346
4e+009	76.4665	29.2376
4.5e+009	73.8067	31.7002
5e+009	71.0121	33.7202
5.5e+009	68.4211	35.6138
6e+009	65.5251	37.1479
6.5e+009	62.7403	38.2326
7e+009	60.1792	39.3403
7.5e+009	57.4404	40.0802
8e+009	54.9493	40.5243
8.5e+009	52.6847	41.0552
9e+009	50.1913	41.2077
9.5e+009	47.997	41.2081
1e+010	45.9948	41.4117
1.05e+010	43.7744	41.1507
1.1e+010	41.9737	40.7552
1.15e+010	40.2363	40.7124
1.2e+010	38.3634	40.3024
1.25e+010	36.8723	39.6605
1.3e+010	35.3952	39.5196
1.35e+010	33.8111	38.9747
1.4e+010	32.7374	38.3597
1.45e+010	31.4517	38.1148
1.5e+010	29.9418	37.4947
1.55e+010	29.2213	36.7576
1.6e+010	28.188	36.6389
1.65e+010	26.7927	35.9265
1.7e+010	26.2889	35.2396
1.75e+010	25.4469	35.1994
1.8e+010	24.2212	34.3482
1.85e+010	23.9119	33.7319
1.9e+010	23.1363	33.7619
1.95e+010	22.0514	32.7096
2e+010	21.8956	32.1986
2.05e+010	21.0277	32.4097
2.1e+010	20.3284	31.2941
2.15e+010	20.3594	30.9562
2.2e+010	19.2025	31.1729
2.25e+010	18.7911	29.9229
2.3e+010	19.0534	29.7865
2.35e+010	17.7179	29.9762
2.4e+010	17.5254	28.6811
2.45e+010	17.9938	28.8266
2.5e+010	16.6177	28.7666
2.55e+010	16.5715	27.5763
2.6e+010	17.079	27.911
2.65e+010	15.649	27.528
