frequency	e'	e''
5e+008	89.6378	6.05468
1e+009	87.1801	9.15415
1.5e+009	86.2671	12.8655
2e+009	84.8274	16.4979
2.5e+009	83.1165	20.0629
3e+009	81.013	23.2695
3.5e+009	78.7436	26.2222
4e+009	76.538	29.0127
4.5e+009	73.9159	31.4709
5e+009	71.1466	33.4956
5.5e+009	68.5881	35.3961
6e+009	65.7248	36.9486
6.5e+009	62.9671	38.0523
7e+009	60.4257	39.1731
7.5e+009	57.7062	39.9326
8e+009	55.2236	40.4001
8.5e+009	52.9689	40.9518
9e+009	50.4856	41.1313
9.5e+009	48.2943	41.1473
1e+010	46.2997	41.37
1.05e+010	44.0796	41.1298
1.1e+010	42.2718	40.7511
1.15e+010	40.5343	40.7292
1.2e+010	38.6571	40.3329
1.25e+010	37.1598	39.7006
1.3e+010	35.6805	39.5744
1.35e+010	34.0878	39.0445
1.4e+010	33.008	38.4369
1.45e+010	31.7175	38.2042
1.5e+010	30.1977	37.5905
1.55e+010	29.4712	36.8564
1.6e+010	28.4311	36.7469
1.65e+010	27.025	36.0408
1.7e+010	26.5142	35.3585
1.75e+010	25.6665	35.3226
1.8e+010	24.4323	34.473
1.85e+010	24.1199	33.8577
1.9e+010	23.3343	33.8963
1.95e+010	22.2395	32.8453
2e+010	22.0805	32.3308
2.05e+010	21.2047	32.5466
2.1e+010	20.5005	31.4295
2.15e+010	20.5272	31.0929
2.2e+010	19.3588	31.3111
2.25e+010	18.9415	30.056
2.3e+010	19.2024	29.9207
2.35e+010	17.8567	30.1142
2.4e+010	17.6621	28.814
2.45e+010	18.1249	28.9626
2.5e+010	16.7367	28.9008
2.55e+010	16.694	27.7066
2.6e+010	17.1966	28.0457
2.65e+010	15.752	27.6603
