frequency	e'	e''
5e+008	90.8142	6.37149
1e+009	87.9809	9.89734
1.5e+009	86.9347	14.0115
2e+009	85.3999	18.0045
2.5e+009	83.4181	21.8359
3e+009	80.9026	25.2351
3.5e+009	78.2318	28.3202
4e+009	75.6563	31.1741
4.5e+009	72.6874	33.6315
5e+009	69.6012	35.5904
5.5e+009	66.7341	37.3734
6e+009	63.5923	38.7583
6.5e+009	60.6028	39.6784
7e+009	57.8619	40.6069
7.5e+009	54.9938	41.1554
8e+009	52.4084	41.407
8.5e+009	50.0657	41.7324
9e+009	47.5275	41.692
9.5e+009	45.3126	41.5163
1e+010	43.301	41.5355
1.05e+010	41.1047	41.1043
1.1e+010	39.3322	40.5762
1.15e+010	37.6243	40.3826
1.2e+010	35.8121	39.8394
1.25e+010	34.3833	39.0959
1.3e+010	32.9562	38.8382
1.35e+010	31.4479	38.197
1.4e+010	30.4347	37.5173
1.45e+010	29.2084	37.1758
1.5e+010	27.7916	36.492
1.55e+010	27.1289	35.729
1.6e+010	26.1623	35.5333
1.65e+010	24.863	34.7752
1.7e+010	24.403	34.0835
1.75e+010	23.6215	33.9746
1.8e+010	22.5015	33.1115
1.85e+010	22.2246	32.5079
1.9e+010	21.507	32.4818
1.95e+010	20.5274	31.4472
2e+010	20.394	30.9395
2.05e+010	19.5953	31.089
2.1e+010	18.9697	30.0228
2.15e+010	19.0073	29.686
2.2e+010	17.95	29.8372
2.25e+010	17.584	28.6634
2.3e+010	17.8459	28.5241
2.35e+010	16.6264	28.6608
2.4e+010	16.4569	27.4422
2.45e+010	16.9129	27.5761
2.5e+010	15.6659	27.4756
2.55e+010	15.622	26.3673
2.6e+010	16.1181	26.6682
2.65e+010	14.8108	26.2773
