frequency	e'	e''
5e+008	90.4017	6.25518
1e+009	87.7468	9.64033
1.5e+009	86.6942	13.6124
2e+009	85.1554	17.4772
2.5e+009	83.299	21.2192
3e+009	80.9502	24.557
3.5e+009	78.409	27.5878
4e+009	75.9522	30.4257
4.5e+009	73.1033	32.8956
5e+009	70.1384	34.8817
5.5e+009	67.3718	36.7075
6e+009	64.3122	38.145
6.5e+009	61.4036	39.1343
7e+009	58.7361	40.1385
7.5e+009	55.9082	40.7565
8e+009	53.3531	41.0817
8.5e+009	51.0347	41.4895
9e+009	48.5181	41.5231
9.5e+009	46.3066	41.4151
1e+010	44.2929	41.5024
1.05e+010	42.0831	41.133
1.1e+010	40.3021	40.6547
1.15e+010	38.5817	40.5124
1.2e+010	36.7462	40.0181
1.25e+010	35.2898	39.3138
1.3e+010	33.8386	39.0911
1.35e+010	32.3084	38.4895
1.4e+010	31.2703	37.8341
1.45e+010	30.0235	37.5227
1.5e+010	28.575	36.862
1.55e+010	27.888	36.1116
1.6e+010	26.8918	35.9313
1.65e+010	25.5628	35.1906
1.7e+010	25.0848	34.508
1.75e+010	24.2828	34.4171
1.8e+010	23.1251	33.558
1.85e+010	22.8304	32.9517
1.9e+010	22.0992	32.9343
1.95e+010	21.0792	31.8896
2e+010	20.9313	31.3862
2.05e+010	20.1097	31.5538
2.1e+010	19.4643	30.4674
2.15e+010	19.4892	30.1298
2.2e+010	18.3985	30.2994
2.25e+010	18.0254	29.1027
2.3e+010	18.2762	28.9611
2.35e+010	17.0146	29.1068
2.4e+010	16.8422	27.873
2.45e+010	17.2953	28.005
2.5e+010	16.0067	27.9125
2.55e+010	15.9651	26.7808
2.6e+010	16.4583	27.0893
2.65e+010	15.1103	26.689
