frequency	e'	e''
5e+008	90.9858	6.4316
1e+009	88.1188	10.0481
1.5e+009	87.0585	14.2413
2e+009	85.4908	18.2965
2.5e+009	83.4346	22.1721
3e+009	80.8385	25.6067
3.5e+009	78.1066	28.7042
4e+009	75.462	31.5627
4.5e+009	72.4209	34.0139
5e+009	69.271	35.957
5.5e+009	66.354	37.7128
6e+009	63.1663	39.0611
6.5e+009	60.1306	39.9426
7e+009	57.3586	40.8288
7.5e+009	54.4766	41.3388
8e+009	51.8745	41.5435
8.5e+009	49.5163	41.8287
9e+009	46.9741	41.7528
9.5e+009	44.7657	41.5358
1e+010	42.7527	41.5157
1.05e+010	40.5615	41.0544
1.1e+010	38.8004	40.4982
1.15e+010	37.1043	40.2735
1.2e+010	35.3033	39.7021
1.25e+010	33.8897	38.9457
1.3e+010	32.4793	38.6667
1.35e+010	30.9861	38.0026
1.4e+010	29.9863	37.3134
1.45e+010	28.7817	36.9577
1.5e+010	27.3813	36.2576
1.55e+010	26.7257	35.4873
1.6e+010	25.774	35.2857
1.65e+010	24.4989	34.5186
1.7e+010	24.0488	33.8203
1.75e+010	23.274	33.7026
1.8e+010	22.1763	32.8435
1.85e+010	21.9104	32.2354
1.9e+010	21.1975	32.2028
1.95e+010	20.2386	31.182
2e+010	20.1201	30.6741
2.05e+010	19.3326	30.8064
2.1e+010	18.7109	29.7518
2.15e+010	18.7625	29.4194
2.2e+010	17.7247	29.5602
2.25e+010	17.3586	28.3896
2.3e+010	17.624	28.2602
2.35e+010	16.4348	28.3933
2.4e+010	16.2648	27.174
2.45e+010	16.7187	27.3075
2.5e+010	15.4851	27.2109
2.55e+010	15.4444	26.1047
2.6e+010	15.9422	26.407
2.65e+010	14.6522	26.0298
