frequency	e'	e''
5e+008	84.9552	5.21045
1e+009	83.1284	6.90261
1.5e+009	82.9427	9.38048
2e+009	82.2315	11.9231
2.5e+009	81.3163	14.5198
3e+009	80.1387	16.9165
3.5e+009	78.8784	19.2444
4e+009	77.735	21.5889
4.5e+009	76.2003	23.7462
5e+009	74.4736	25.6349
5.5e+009	72.9567	27.5592
6e+009	71.101	29.2982
6.5e+009	69.2102	30.6902
7e+009	67.5243	32.2004
7.5e+009	65.542	33.4336
8e+009	63.6662	34.4077
8.5e+009	61.9946	35.5292
9e+009	59.9625	36.3374
9.5e+009	58.1275	36.9489
1e+010	56.5004	37.8282
1.05e+010	54.4812	38.2457
1.1e+010	52.803	38.42
1.15e+010	51.2419	39.0475
1.2e+010	49.3853	39.2631
1.25e+010	47.8319	39.0994
1.3e+010	46.3907	39.5661
1.35e+010	44.6702	39.5617
1.4e+010	43.4829	39.3023
1.45e+010	42.1109	39.6009
1.5e+010	40.343	39.4467
1.55e+010	39.4675	38.9025
1.6e+010	38.3285	39.2816
1.65e+010	36.5706	38.9457
1.7e+010	35.9168	38.3593
1.75e+010	34.9308	38.7644
1.8e+010	33.2798	38.1663
1.85e+010	32.853	37.5468
1.9e+010	31.8998	38.0304
1.95e+010	30.3416	37.0679
2e+010	30.1295	36.5419
2.05e+010	29.019	37.2313
2.1e+010	27.9364	36.0094
2.15e+010	27.9704	35.6721
2.2e+010	26.4433	36.3912
2.25e+010	25.711	34.894
2.3e+010	26.0484	34.7559
2.35e+010	24.2148	35.4397
2.4e+010	23.8163	33.7722
2.45e+010	24.4495	34.001
2.5e+010	22.4702	34.3577
2.55e+010	22.3155	32.7339
2.6e+010	22.9786	33.2364
2.65e+010	20.893	33.086
