frequency	e'	e''
5e+008	91.1799	6.42562
1e+009	88.2347	10.1313
1.5e+009	87.2225	14.4082
2e+009	85.6295	18.5136
2.5e+009	83.4758	22.4282
3e+009	80.8382	25.8972
3.5e+009	78.0676	29.0181
4e+009	75.3517	31.8758
4.5e+009	72.2494	34.3261
5e+009	69.0576	36.2643
5.5e+009	66.1033	37.994
6e+009	62.8659	39.308
6.5e+009	59.7997	40.1621
7e+009	57.011	41.0244
7.5e+009	54.1097	41.4945
8e+009	51.4881	41.6678
8.5e+009	49.1222	41.9241
9e+009	46.5818	41.8182
9.5e+009	44.3695	41.5735
1e+010	42.3568	41.5222
1.05e+010	40.1732	41.0401
1.1e+010	38.4201	40.4595
1.15e+010	36.7282	40.2078
1.2e+010	34.9361	39.6231
1.25e+010	33.5324	38.8545
1.3e+010	32.1359	38.5555
1.35e+010	30.6514	37.8768
1.4e+010	29.6604	37.1809
1.45e+010	28.471	36.8176
1.5e+010	27.0807	36.1047
1.55e+010	26.4274	35.3305
1.6e+010	25.4915	35.1281
1.65e+010	24.2349	34.3545
1.7e+010	23.7872	33.6483
1.75e+010	23.02	33.5325
1.8e+010	21.9359	32.6758
1.85e+010	21.6765	32.062
1.9e+010	20.9713	32.0264
1.95e+010	20.0226	31.0181
2e+010	19.9157	30.5084
2.05e+010	19.138	30.6344
2.1e+010	18.5186	29.5891
2.15e+010	18.5823	29.2569
2.2e+010	17.5608	29.3937
2.25e+010	17.1877	28.2305
2.3e+010	17.461	28.1079
2.35e+010	16.295	28.2426
2.4e+010	16.1224	27.0201
2.45e+010	16.5753	27.1503
2.5e+010	15.3546	27.0628
2.55e+010	15.318	25.9614
2.6e+010	15.8151	26.265
2.65e+010	14.5395	25.9017
