frequency	e'	e''
5e+008	88.2893	6.92415
1.5e+009	85.735	13.8823
2.5e+009	81.9563	21.2592
3.5e+009	77.1709	27.4549
4.5e+009	71.8387	32.3941
5.5e+009	66.2679	36.1562
6.5e+009	60.5881	38.6824
7.5e+009	55.2026	40.2941
8.5e+009	50.1459	41.0649
9.5e+009	45.5317	41.1186
1.05e+010	41.4015	40.7082
1.15e+010	37.738	40.0023
1.25e+010	34.5608	39.0652
1.35e+010	31.7451	37.9971
1.45e+010	29.2988	36.8829
1.55e+010	27.1543	35.7613
1.65e+010	25.2763	34.6308
1.75e+010	23.6398	33.565
1.85e+010	22.2044	32.5112
1.95e+010	20.9584	31.5341
2.05e+010	19.8255	30.6003
2.15e+010	18.8417	29.6861
2.25e+010	17.952	28.8447
2.35e+010	17.1733	28.0268
2.45e+010	16.5313	27.2797
2.55e+010	15.8961	26.5336
2.65e+010	15.3482	25.8301
