frequency	e'	e''
5e+008	85.9144	6.1458
1.5e+009	83.5206	13.1387
2.5e+009	80.0304	20.3442
3.5e+009	75.5614	26.5003
4.5e+009	70.4758	31.5773
5.5e+009	64.8731	35.554
6.5e+009	59.0099	38.0367
7.5e+009	53.6336	39.4015
8.5e+009	48.7347	40.0214
9.5e+009	44.2913	40.0288
1.05e+010	40.3262	39.611
1.15e+010	36.7993	38.9069
1.25e+010	33.7483	38.023
1.35e+010	31.0453	37.015
1.45e+010	28.6735	35.9599
1.55e+010	26.5878	34.9253
1.65e+010	24.7655	33.8521
1.75e+010	23.1463	32.8427
1.85e+010	21.7278	31.8508
1.95e+010	20.504	30.918
2.05e+010	19.372	30.0098
2.15e+010	18.38	29.1409
2.25e+010	17.4919	28.3386
2.35e+010	16.7136	27.5288
2.45e+010	16.0352	26.8078
2.55e+010	15.4014	26.0939
2.65e+010	14.8531	25.3939
