frequency	e'	e''
5e+008	88.1692	6.93016
1.5e+009	85.6217	13.8791
2.5e+009	81.8384	21.2482
3.5e+009	77.0407	27.4246
4.5e+009	71.7009	32.3352
5.5e+009	66.1407	36.0581
6.5e+009	60.4902	38.5439
7.5e+009	55.1654	40.1381
8.5e+009	50.1657	40.9328
9.5e+009	45.5747	41.024
1.05e+010	41.4447	40.6449
1.15e+010	37.7872	39.9635
1.25e+010	34.6037	39.0423
1.35e+010	31.7757	37.9915
1.45e+010	29.3222	36.8909
1.55e+010	27.1688	35.7747
1.65e+010	25.277	34.6513
1.75e+010	23.635	33.5911
1.85e+010	22.1942	32.532
1.95e+010	20.9313	31.559
2.05e+010	19.7978	30.6298
2.15e+010	18.8125	29.707
2.25e+010	17.9099	28.8593
2.35e+010	17.126	28.0549
2.45e+010	16.4972	27.2968
2.55e+010	15.8459	26.5357
2.65e+010	15.2926	25.8499
