frequency	e'	e''
5e+008	86.0905	8.28831
1.5e+009	83.5195	14.1003
2.5e+009	79.6992	21.0602
3.5e+009	74.8676	26.8982
4.5e+009	69.5395	31.4523
5.5e+009	64.0683	34.7873
6.5e+009	58.6054	36.8785
7.5e+009	53.6038	38.1121
8.5e+009	49.0583	38.6735
9.5e+009	44.9361	38.6887
1.05e+010	41.2237	38.3726
1.15e+010	37.9159	37.828
1.25e+010	35.0262	37.0644
1.35e+010	32.4261	36.236
1.45e+010	30.1364	35.3583
1.55e+010	28.0997	34.4407
1.65e+010	26.2809	33.5378
1.75e+010	24.6822	32.6673
1.85e+010	23.2728	31.7736
1.95e+010	22	30.9788
2.05e+010	20.8631	30.204
2.15e+010	19.8571	29.4126
2.25e+010	18.9007	28.6902
2.35e+010	18.0637	28.0127
2.45e+010	17.3942	27.3389
2.55e+010	16.6617	26.6512
2.65e+010	16.047	26.0548
