frequency	e'	e''
5e+008	84.9608	8.65986
1.5e+009	82.4196	14.0725
2.5e+009	78.6172	20.8684
3.5e+009	73.8216	26.5636
4.5e+009	68.5343	30.998
5.5e+009	63.117	34.2207
6.5e+009	57.7229	36.2127
7.5e+009	52.7995	37.3596
8.5e+009	48.3388	37.8343
9.5e+009	44.3148	37.7858
1.05e+010	40.6994	37.4124
1.15e+010	37.5129	36.8294
1.25e+010	34.7194	36.0422
1.35e+010	32.2285	35.1874
1.45e+010	30.0637	34.3331
1.55e+010	28.1045	33.416
1.65e+010	26.3999	32.5564
1.75e+010	24.8679	31.7238
1.85e+010	23.5477	30.8467
1.95e+010	22.3284	30.1351
2.05e+010	21.2791	29.3862
2.15e+010	20.3401	28.6437
2.25e+010	19.4037	27.9614
2.35e+010	18.6674	27.3878
2.45e+010	18.0229	26.7253
2.55e+010	17.2921	26.1116
2.65e+010	16.6973	25.6511
