frequency	e'	e''
5e+008	83.288	9.28162
1.5e+009	80.7863	14.0508
2.5e+009	77.0308	20.5839
3.5e+009	72.3034	26.0904
4.5e+009	67.1003	30.365
5.5e+009	61.781	33.4559
6.5e+009	56.4963	35.3437
7.5e+009	51.6809	36.4035
8.5e+009	47.3292	36.8104
9.5e+009	43.415	36.7063
1.05e+010	39.909	36.2955
1.15e+010	36.826	35.6782
1.25e+010	34.1325	34.8757
1.35e+010	31.7377	34.0079
1.45e+010	29.6743	33.1506
1.55e+010	27.8014	32.2403
1.65e+010	26.1806	31.3859
1.75e+010	24.7374	30.5709
1.85e+010	23.4833	29.7082
1.95e+010	22.3434	29.0143
2.05e+010	21.3615	28.2907
2.15e+010	20.4895	27.5669
2.25e+010	19.6173	26.9116
2.35e+010	18.9534	26.3722
2.45e+010	18.3763	25.7367
2.55e+010	17.7008	25.171
2.65e+010	17.1715	24.7755
