frequency	e'	e''
5e+008	85.944	8.32641
1.5e+009	83.3821	14.0939
2.5e+009	79.569	21.0395
3.5e+009	74.7378	26.8563
4.5e+009	69.4158	31.3967
5.5e+009	63.9523	34.7193
6.5e+009	58.4973	36.7988
7.5e+009	53.5047	38.0219
8.5e+009	48.9724	38.5717
9.5e+009	44.8608	38.5818
1.05e+010	41.1638	38.2564
1.15e+010	37.8692	37.7103
1.25e+010	34.9923	36.9435
1.35e+010	32.4072	36.1133
1.45e+010	30.1322	35.2397
1.55e+010	28.1071	34.3261
1.65e+010	26.3018	33.4292
1.75e+010	24.71	32.5651
1.85e+010	23.3078	31.6766
1.95e+010	22.041	30.892
2.05e+010	20.9129	30.1205
2.15e+010	19.913	29.3366
2.25e+010	18.9603	28.6235
2.35e+010	18.129	27.9549
2.45e+010	17.4599	27.2868
2.55e+010	16.7282	26.6094
2.65e+010	16.1147	26.0226
