frequency	e'	e''
5e+008	86.31	6.34468
1.5e+009	83.8891	13.3079
2.5e+009	80.3369	20.5347
3.5e+009	75.8102	26.6941
4.5e+009	70.6857	31.7438
5.5e+009	65.108	35.7034
6.5e+009	59.2332	38.2545
7.5e+009	53.7852	39.6291
8.5e+009	48.8506	40.2295
9.5e+009	44.3778	40.218
1.05e+010	40.3921	39.7815
1.15e+010	36.8397	39.0568
1.25e+010	33.7847	38.1477
1.35e+010	31.0806	37.1181
1.45e+010	28.7082	36.0426
1.55e+010	26.6304	34.9984
1.65e+010	24.8109	33.9154
1.75e+010	23.198	32.8966
1.85e+010	21.7775	31.9033
1.95e+010	20.5618	30.9614
2.05e+010	19.4333	30.0483
2.15e+010	18.4413	29.1802
2.25e+010	17.5679	28.3826
2.35e+010	16.7787	27.5588
2.45e+010	16.1045	26.8477
2.55e+010	15.4841	26.1375
2.65e+010	14.9427	25.4179
