frequency	e'	e''
5e+008	86.2705	6.31874
1.5e+009	83.853	13.279
2.5e+009	80.3133	20.5048
3.5e+009	75.7956	26.667
4.5e+009	70.6784	31.7277
5.5e+009	65.0919	35.6955
6.5e+009	59.2082	38.229
7.5e+009	53.7764	39.597
8.5e+009	48.8489	40.2034
9.5e+009	44.3805	40.1957
1.05e+010	40.3989	39.7629
1.15e+010	36.8478	39.0404
1.25e+010	33.7954	38.1352
1.35e+010	31.0907	37.1136
1.45e+010	28.7158	36.0378
1.55e+010	26.6407	35.0022
1.65e+010	24.8137	33.9112
1.75e+010	23.2041	32.8974
1.85e+010	21.7782	31.9096
1.95e+010	20.5684	30.9562
2.05e+010	19.4295	30.0526
2.15e+010	18.4375	29.1809
2.25e+010	17.5704	28.3896
2.35e+010	16.7712	27.5539
2.45e+010	16.0991	26.8554
2.55e+010	15.4828	26.143
2.65e+010	14.9413	25.4104
