frequency	e'	e''
5e+008	85.9435	6.1488
1.5e+009	83.5297	13.1466
2.5e+009	80.0398	20.3528
3.5e+009	75.563	26.5056
4.5e+009	70.4766	31.5784
5.5e+009	64.8831	35.5511
6.5e+009	59.0202	38.0495
7.5e+009	53.6322	39.4169
8.5e+009	48.7332	40.0323
9.5e+009	44.2843	40.0369
1.05e+010	40.3217	39.6194
1.15e+010	36.787	38.9133
1.25e+010	33.7387	38.0229
1.35e+010	31.0377	37.0157
1.45e+010	28.6686	35.9556
1.55e+010	26.5868	34.9218
1.65e+010	24.7627	33.8477
1.75e+010	23.1489	32.8396
1.85e+010	21.7235	31.8483
1.95e+010	20.5006	30.9119
2.05e+010	19.3746	30.0034
2.15e+010	18.3822	29.1341
2.25e+010	17.4992	28.3384
2.35e+010	16.714	27.5248
2.45e+010	16.0364	26.8032
2.55e+010	15.4029	26.0947
2.65e+010	14.8684	25.3821
