frequency	e'	e''
5e+008	80.9771	5.46241
1.5e+009	78.7137	12.1309
2.5e+009	75.4611	18.86
3.5e+009	71.302	24.6077
4.5e+009	66.5668	29.3461
5.5e+009	61.3405	33.0595
6.5e+009	55.9022	35.394
7.5e+009	50.8927	36.6964
8.5e+009	46.3272	37.2999
9.5e+009	42.1808	37.3333
1.05e+010	38.4765	36.9701
1.15e+010	35.1765	36.3372
1.25e+010	32.3191	35.5364
1.35e+010	29.7866	34.6134
1.45e+010	27.5628	33.6412
1.55e+010	25.6003	32.6933
1.65e+010	23.892	31.7053
1.75e+010	22.3661	30.7725
1.85e+010	21.0274	29.8588
1.95e+010	19.8781	29.0021
2.05e+010	18.8114	28.1573
2.15e+010	17.8719	27.3537
2.25e+010	17.0343	26.6175
2.35e+010	16.2999	25.8605
2.45e+010	15.6467	25.1933
2.55e+010	15.0488	24.5427
2.65e+010	14.538	23.893
