frequency	e'	e''
5e+008	86.5697	8.09291
1.5e+009	84.0065	14.1028
2.5e+009	80.18	21.1429
3.5e+009	75.3377	27.04
4.5e+009	69.9912	31.6512
5.5e+009	64.498	35.0408
6.5e+009	59.0053	37.1803
7.5e+009	53.9697	38.4588
8.5e+009	49.3746	39.0591
9.5e+009	45.2087	39.1123
1.05e+010	41.4369	38.822
1.15e+010	38.065	38.2881
1.25e+010	35.1198	37.5345
1.35e+010	32.4551	36.6961
1.45e+010	30.1086	35.799
1.55e+010	28.0296	34.863
1.65e+010	26.1732	33.9302
1.75e+010	24.5418	33.0305
1.85e+010	23.1044	32.1151
1.95e+010	21.807	31.2908
2.05e+010	20.641	30.4801
2.15e+010	19.6155	29.6611
2.25e+010	18.6478	28.9006
2.35e+010	17.8102	28.1806
2.45e+010	17.1218	27.4821
2.55e+010	16.3995	26.7659
2.65e+010	15.7796	26.1352
