frequency	e'	e''
5e+008	86.3061	6.34936
1.5e+009	83.8724	13.3034
2.5e+009	80.327	20.5305
3.5e+009	75.802	26.6889
4.5e+009	70.679	31.7423
5.5e+009	65.0981	35.7019
6.5e+009	59.2218	38.2477
7.5e+009	53.7775	39.6196
8.5e+009	48.8451	40.2204
9.5e+009	44.3743	40.211
1.05e+010	40.3903	39.7743
1.15e+010	36.8382	39.0519
1.25e+010	33.7838	38.1428
1.35e+010	31.0802	37.1159
1.45e+010	28.706	36.0401
1.55e+010	26.6304	34.9992
1.65e+010	24.8093	33.9129
1.75e+010	23.1986	32.8944
1.85e+010	21.774	31.9045
1.95e+010	20.5606	30.9559
2.05e+010	19.4286	30.0457
2.15e+010	18.4369	29.1761
2.25e+010	17.5684	28.3836
2.35e+010	16.7719	27.5556
2.45e+010	16.0989	26.8467
2.55e+010	15.4808	26.1373
2.65e+010	14.9406	25.4123
