frequency	e'	e''
5e+008	85.7271	5.95515
1.5e+009	83.3497	13.0244
2.5e+009	79.891	20.2216
3.5e+009	75.4649	26.3789
4.5e+009	70.3962	31.4785
5.5e+009	64.7721	35.4562
6.5e+009	58.9406	37.9121
7.5e+009	53.5989	39.2911
8.5e+009	48.7186	39.9282
9.5e+009	44.2871	39.9511
1.05e+010	40.3252	39.5501
1.15e+010	36.8091	38.865
1.25e+010	33.75	37.9943
1.35e+010	31.0433	36.9947
1.45e+010	28.6767	35.9552
1.55e+010	26.5745	34.9133
1.65e+010	24.7519	33.8596
1.75e+010	23.1253	32.8491
1.85e+010	21.7064	31.8465
1.95e+010	20.4642	30.9404
2.05e+010	19.3485	30.0216
2.15e+010	18.3547	29.1498
2.25e+010	17.4415	28.34
2.35e+010	16.686	27.5594
2.45e+010	16.0026	26.8043
2.55e+010	15.3383	26.0913
2.65e+010	14.7947	25.4384
