frequency	e'	e''
5e+008	90.3521	5.68036
1e+009	87.5519	9.6424
1.5e+009	86.6495	13.9694
2e+009	84.8694	18.022
2.5e+009	82.9079	21.931
3e+009	80.4111	25.381
3.5e+009	77.6396	28.4617
4e+009	75.0092	31.2836
4.5e+009	71.972	33.7201
5e+009	68.8393	35.6601
5.5e+009	65.9729	37.384
6e+009	62.8279	38.7215
6.5e+009	59.8128	39.6186
7e+009	57.0577	40.4928
7.5e+009	54.2035	40.987
8e+009	51.6448	41.1808
8.5e+009	49.3221	41.4935
9e+009	46.7951	41.4605
9.5e+009	44.5927	41.2395
1e+010	42.603	41.201
1.05e+010	40.4413	40.782
1.1e+010	38.683	40.2454
1.15e+010	36.9987	40.0261
1.2e+010	35.1765	39.4811
1.25e+010	33.7629	38.7172
1.3e+010	32.3987	38.4666
1.35e+010	30.8934	37.8183
1.4e+010	29.8614	37.1379
1.45e+010	28.6743	36.8062
1.5e+010	27.2787	36.1032
1.55e+010	26.5898	35.3366
1.6e+010	25.6839	35.1968
1.65e+010	24.3892	34.4631
1.7e+010	23.9178	33.7132
1.75e+010	23.1611	33.6376
1.8e+010	22.0481	32.8509
1.85e+010	21.7673	32.1928
1.9e+010	21.0831	32.1913
1.95e+010	20.0782	31.2505
2e+010	20.0083	30.6919
2.05e+010	19.2492	30.8773
2.1e+010	18.5251	29.8655
2.15e+010	18.638	29.4983
2.2e+010	17.6421	29.7164
2.25e+010	17.1641	28.4928
2.3e+010	17.5228	28.3897
2.35e+010	16.3758	28.6793
2.4e+010	16.076	27.3277
2.45e+010	16.6554	27.4113
2.5e+010	15.4011	27.5038
2.55e+010	15.2688	26.2742
2.6e+010	15.8767	26.5758
2.65e+010	14.5544	26.3455
