frequency	e'	e''
5e+008	81.4149	5.17024
1e+009	78.8355	8.7076
1.5e+009	78.2063	12.8078
2e+009	76.6232	16.5345
2.5e+009	74.9061	20.4822
3e+009	72.5484	23.7435
3.5e+009	69.8421	26.8091
4e+009	67.2941	29.5078
4.5e+009	64.3177	31.8605
5e+009	61.2339	33.7115
5.5e+009	58.4102	35.3223
6e+009	55.3169	36.5434
6.5e+009	52.3536	37.3451
7e+009	49.6229	38.0847
7.5e+009	46.8234	38.4314
8e+009	44.3531	38.5096
8.5e+009	42.087	38.6762
9e+009	39.6695	38.5093
9.5e+009	37.587	38.1957
1e+010	35.6853	38.0377
1.05e+010	33.6608	37.5307
1.1e+010	32.0117	36.9566
1.15e+010	30.4055	36.6394
1.2e+010	28.7043	36.0318
1.25e+010	27.3884	35.2737
1.3e+010	26.0521	34.9258
1.35e+010	24.643	34.2058
1.4e+010	23.6541	33.5057
1.45e+010	22.5019	33.0535
1.5e+010	21.2134	32.2476
1.55e+010	20.5548	31.4507
1.6e+010	19.6799	31.1204
1.65e+010	18.5575	30.2494
1.7e+010	18.1602	29.4695
1.75e+010	17.4892	29.1948
1.8e+010	16.6046	28.315
1.85e+010	16.4126	27.6679
1.9e+010	15.8544	27.4867
1.95e+010	15.1192	26.5598
2e+010	15.1023	26.0564
2.05e+010	14.4796	26.0591
2.1e+010	13.9593	25.1384
2.15e+010	14.073	24.8168
2.2e+010	13.2634	24.8404
2.25e+010	12.9485	23.7892
2.3e+010	13.2235	23.7063
2.35e+010	12.2979	23.7703
2.4e+010	12.1157	22.6509
2.45e+010	12.5654	22.7278
2.5e+010	11.5658	22.6238
2.55e+010	11.5028	21.6271
2.6e+010	11.9655	21.8611
2.65e+010	10.9235	21.5087
