frequency	e'	e''
5e+008	90.7471	5.73833
1e+009	87.9389	9.69039
1.5e+009	87.0433	13.9714
2e+009	85.2475	18.0273
2.5e+009	83.3457	21.9085
3e+009	80.8717	25.3541
3.5e+009	78.1319	28.4691
4e+009	75.5119	31.3256
4.5e+009	72.4667	33.7832
5e+009	69.3287	35.7313
5.5e+009	66.4712	37.4601
6e+009	63.3353	38.8138
6.5e+009	60.3204	39.7255
7e+009	57.5692	40.6241
7.5e+009	54.7138	41.147
8e+009	52.1447	41.3528
8.5e+009	49.8131	41.6867
9e+009	47.272	41.6776
9.5e+009	45.0559	41.458
1e+010	43.0571	41.4367
1.05e+010	40.8743	41.0298
1.1e+010	39.1092	40.4913
1.15e+010	37.4216	40.2913
1.2e+010	35.5727	39.7529
1.25e+010	34.1554	38.9846
1.3e+010	32.786	38.7564
1.35e+010	31.2533	38.1024
1.4e+010	30.2176	37.4192
1.45e+010	29.0222	37.1062
1.5e+010	27.5984	36.3965
1.55e+010	26.9071	35.6198
1.6e+010	25.9955	35.5093
1.65e+010	24.6722	34.7656
1.7e+010	24.2043	33.9983
1.75e+010	23.4343	33.9499
1.8e+010	22.2939	33.1515
1.85e+010	22.0272	32.4779
1.9e+010	21.3263	32.505
1.95e+010	20.2952	31.5521
2e+010	20.2531	30.9806
2.05e+010	19.4733	31.1918
2.1e+010	18.7237	30.1577
2.15e+010	18.8684	29.7923
2.2e+010	17.8475	30.038
2.25e+010	17.3448	28.7713
2.3e+010	17.7388	28.6861
2.35e+010	16.5591	29.0121
2.4e+010	16.2475	27.5917
2.45e+010	16.8652	27.6978
2.5e+010	15.5549	27.829
2.55e+010	15.4269	26.5389
2.6e+010	16.072	26.8733
2.65e+010	14.6905	26.6679
