frequency	e'	e''
5e+008	90.8503	5.71793
1e+009	88.06	9.6797
1.5e+009	87.1636	13.9722
2e+009	85.3789	18.0206
2.5e+009	83.4754	21.9092
3e+009	81.0082	25.3544
3.5e+009	78.272	28.4773
4e+009	75.6582	31.3417
4.5e+009	72.6199	33.8099
5e+009	69.4822	35.7716
5.5e+009	66.6247	37.5132
6e+009	63.4849	38.8782
6.5e+009	60.4649	39.8031
7e+009	57.7107	40.7075
7.5e+009	54.8443	41.2419
8e+009	52.2682	41.4533
8.5e+009	49.9313	41.7919
9e+009	47.3772	41.7871
9.5e+009	45.1536	41.5696
1e+010	43.1469	41.5491
1.05e+010	40.9588	41.1423
1.1e+010	39.1856	40.6068
1.15e+010	37.4925	40.4072
1.2e+010	35.6324	39.8697
1.25e+010	34.211	39.0983
1.3e+010	32.84	38.8716
1.35e+010	31.2976	38.2137
1.4e+010	30.2576	37.5299
1.45e+010	29.0583	37.2176
1.5e+010	27.6309	36.5043
1.55e+010	26.9337	35.7251
1.6e+010	26.0191	35.6157
1.65e+010	24.6919	34.8707
1.7e+010	24.2216	34.0983
1.75e+010	23.4435	34.048
1.8e+010	22.3035	33.2488
1.85e+010	22.0353	32.5712
1.9e+010	21.3277	32.5977
1.95e+010	20.2959	31.6447
2e+010	20.2531	31.0687
2.05e+010	19.4705	31.2783
2.1e+010	18.7175	30.2426
2.15e+010	18.8616	29.8739
2.2e+010	17.8396	30.1177
2.25e+010	17.3332	28.8485
2.3e+010	17.7271	28.7623
2.35e+010	16.5475	29.0889
2.4e+010	16.2327	27.6631
2.45e+010	16.8499	27.7689
2.5e+010	15.5347	27.9015
2.55e+010	15.404	26.6027
2.6e+010	16.0514	26.938
2.65e+010	14.6705	26.7403
