frequency	e'	e''
5e+008	37.1155	2.62133
1e+009	35.0347	3.74316
1.5e+009	35.077	5.42723
2e+009	34.2858	6.91894
2.5e+009	33.7143	8.46048
3e+009	32.5864	9.84261
3.5e+009	31.4517	11.0927
4e+009	30.3915	12.2507
4.5e+009	29.0105	13.1869
5e+009	27.6344	13.9558
5.5e+009	26.4494	14.6081
6e+009	25.0608	15.0281
6.5e+009	23.7997	15.2937
7e+009	22.6475	15.5485
7.5e+009	21.4371	15.6054
8e+009	20.4586	15.6002
8.5e+009	19.5356	15.624
9e+009	18.4876	15.4802
9.5e+009	17.6793	15.3504
1e+010	16.8984	15.2712
1.05e+010	16.0284	15.0241
1.1e+010	15.3529	14.7976
1.15e+010	14.657	14.6321
1.2e+010	13.9245	14.3418
1.25e+010	13.422	14.0555
1.3e+010	12.8355	13.8656
1.35e+010	12.2244	13.517
1.4e+010	11.8512	13.2293
1.45e+010	11.3804	12.9987
1.5e+010	10.8268	12.6261
1.55e+010	10.6211	12.3208
1.6e+010	10.267	12.1652
1.65e+010	9.78407	11.7742
1.7e+010	9.68325	11.4886
1.75e+010	9.42401	11.3647
1.8e+010	9.0427	10.999
1.85e+010	9.00776	10.7954
1.9e+010	8.76968	10.695
1.95e+010	8.45433	10.3201
2e+010	8.49293	10.1597
2.05e+010	8.21412	10.1483
2.1e+010	7.9769	9.78064
2.15e+010	8.0894	9.68995
2.2e+010	7.71567	9.68045
2.25e+010	7.57685	9.26315
2.3e+010	7.74852	9.27452
2.35e+010	7.32445	9.27672
2.4e+010	7.21966	8.84583
2.45e+010	7.49111	8.92601
2.5e+010	7.00234	8.84481
2.55e+010	6.95593	8.45418
2.6e+010	7.25941	8.59091
2.65e+010	6.71683	8.42292
