frequency	e'	e''
5e+008	82.9081	5.22041
1e+009	80.2804	8.80634
1.5e+009	79.5802	12.8946
2e+009	77.9792	16.6545
2.5e+009	76.1732	20.4968
3e+009	73.8424	23.7449
3.5e+009	71.1479	26.7244
4e+009	68.6394	29.4074
4.5e+009	65.6976	31.7211
5e+009	62.6624	33.5505
5.5e+009	59.8919	35.1509
6e+009	56.8457	36.3721
6.5e+009	53.9304	37.1723
7e+009	51.26	37.9278
7.5e+009	48.5132	38.3027
8e+009	46.0829	38.4131
8.5e+009	43.8587	38.6159
9e+009	41.4679	38.4953
9.5e+009	39.4006	38.2202
1e+010	37.5219	38.1018
1.05e+010	35.5033	37.6359
1.1e+010	33.8621	37.0894
1.15e+010	32.2699	36.8109
1.2e+010	30.5722	36.2358
1.25e+010	29.2577	35.4934
1.3e+010	27.9553	35.1817
1.35e+010	26.5499	34.5038
1.4e+010	25.5756	33.8258
1.45e+010	24.4469	33.4238
1.5e+010	23.1559	32.6739
1.55e+010	22.5104	31.9107
1.6e+010	21.6581	31.6557
1.65e+010	20.5026	30.8569
1.7e+010	20.0889	30.1112
1.75e+010	19.4152	29.9124
1.8e+010	18.4743	29.086
1.85e+010	18.2534	28.4534
1.9e+010	17.6747	28.3371
1.95e+010	16.8671	27.4279
2e+010	16.8316	26.9162
2.05e+010	16.1894	26.9829
2.1e+010	15.6132	26.0568
2.15e+010	15.7294	25.7278
2.2e+010	14.887	25.8232
2.25e+010	14.52	24.7406
2.3e+010	14.822	24.6515
2.35e+010	13.8584	24.796
2.4e+010	13.6292	23.6306
2.45e+010	14.1199	23.7072
2.5e+010	13.0712	23.6805
2.55e+010	12.9706	22.6285
2.6e+010	13.488	22.8739
2.65e+010	12.3828	22.5819
