frequency	e'	e''
5e+008	91.4905	6.05915
1e+009	88.4564	10.0753
1.5e+009	87.1892	14.4951
2e+009	85.5367	18.6905
2.5e+009	83.4408	22.6786
3e+009	80.7538	26.2266
3.5e+009	77.865	29.3876
4e+009	75.0599	32.2376
4.5e+009	71.884	34.6798
5e+009	68.6181	36.5995
5.5e+009	65.608	38.2861
6e+009	62.3485	39.5739
6.5e+009	59.2245	40.4028
7e+009	56.3805	41.1989
7.5e+009	53.4482	41.5945
8e+009	50.8351	41.7153
8.5e+009	48.476	41.9362
9e+009	45.9205	41.7919
9.5e+009	43.6899	41.5089
1e+010	41.6908	41.3902
1.05e+010	39.5478	40.8832
1.1e+010	37.797	40.2908
1.15e+010	36.1235	40.0073
1.2e+010	34.3524	39.3988
1.25e+010	32.9554	38.5821
1.3e+010	31.5854	38.2647
1.35e+010	30.1433	37.6011
1.4e+010	29.1507	36.8868
1.45e+010	27.9668	36.4795
1.5e+010	26.6168	35.7627
1.55e+010	25.9863	34.999
1.6e+010	25.0857	34.7643
1.65e+010	23.8167	34.0065
1.7e+010	23.3807	33.3014
1.75e+010	22.6658	33.1524
1.8e+010	21.5898	32.3231
1.85e+010	21.3102	31.7049
1.9e+010	20.681	31.6368
1.95e+010	19.7289	30.6346
2e+010	19.61	30.1125
2.05e+010	18.8749	30.2701
2.1e+010	18.258	29.2392
2.15e+010	18.3048	28.8692
2.2e+010	17.3226	29.0361
2.25e+010	16.9515	27.8783
2.3e+010	17.2507	27.7336
2.35e+010	16.1022	27.9095
2.4e+010	15.8707	26.7023
2.45e+010	16.3971	26.7777
2.5e+010	15.2205	26.7543
2.55e+010	15.1329	25.6374
2.6e+010	15.6687	25.8922
2.65e+010	14.4223	25.5459
