frequency	e'	e''
5e+008	91.1862	5.9452
1e+009	88.2646	9.83428
1.5e+009	86.9447	14.1116
2e+009	85.3544	18.205
2.5e+009	83.413	22.1137
3e+009	80.8479	25.6058
3.5e+009	78.0492	28.735
4e+009	75.3736	31.5916
4.5e+009	72.3269	34.0468
5e+009	69.1462	35.9916
5.5e+009	66.2147	37.7272
6e+009	63.0416	39.086
6.5e+009	59.9844	39.9733
7e+009	57.1778	40.8295
7.5e+009	54.2777	41.3043
8e+009	51.6952	41.4969
8.5e+009	49.3544	41.781
9e+009	46.7989	41.7032
9.5e+009	44.5642	41.4848
1e+010	42.5659	41.4231
1.05e+010	40.403	40.9677
1.1e+010	38.6352	40.4179
1.15e+010	36.9501	40.1822
1.2e+010	35.1543	39.6116
1.25e+010	33.7279	38.8234
1.3e+010	32.3363	38.5411
1.35e+010	30.8693	37.906
1.4e+010	29.8545	37.2053
1.45e+010	28.6434	36.826
1.5e+010	27.2653	36.1304
1.55e+010	26.6185	35.3694
1.6e+010	25.6909	35.1519
1.65e+010	24.3874	34.4041
1.7e+010	23.9416	33.7037
1.75e+010	23.2109	33.567
1.8e+010	22.0992	32.7368
1.85e+010	21.8061	32.1185
1.9e+010	21.1645	32.0606
1.95e+010	20.1776	31.0427
2e+010	20.0454	30.5186
2.05e+010	19.2898	30.6981
2.1e+010	18.6552	29.6455
2.15e+010	18.6917	29.2706
2.2e+010	17.6778	29.4599
2.25e+010	17.3028	28.2775
2.3e+010	17.5992	28.1254
2.35e+010	16.4038	28.3141
2.4e+010	16.1709	27.094
2.45e+010	16.7013	27.1677
2.5e+010	15.4944	27.1428
2.55e+010	15.4024	26.011
2.6e+010	15.9399	26.2688
2.65e+010	14.6541	25.9165
